corp_code,corp_name,stock_code,avg_revenue_last_3y,total_assets
00567222,우림피티에스,101170,65811077584.7,92390151125
00567897,에스비비테크,389500,6023235844.0,28895548697
00568188,마이크로컨텍솔,098120,65178659963.0,76917403910
00568461,HC보광산업,225530,78936182203.0,179145646984
00569646,영우디에스피,143540,52137690094.0,68473955097
00569691,디엔에프,092070,85024358642.0,161916433868
00571483,오이솔루션,138080,51661113825.0,136635554073
00574611,SDN,099220,88174607950.7,155594294579
00576789,디젠스,113810,80113682726.0,59674082371
00577016,수산아이앤티,050960,24124620166.3,91624786455
00577380,신진에스엠,138070,60218333747.0,105860205050
00578538,티피씨글로벌,130740,80420829619.7,112833101054
00579139,한국맥널티,222980,79148866902.3,81317586081
00579971,칩스앤미디어,094360,26245886834.3,83980124565
00587925,모아라이프플러스,142760,18626446878.0,62249788735
00595182,아톤,158430,55065996665.3,138945851809
00596260,투비소프트,079970,34468038740.0,30298943930
00598198,컴퍼니케이,307930,15591879180.0,77364427939
00599106,네오리진,094860,26572740108.3,44700042971
00599151,SV인베스트먼트,289080,28868323538.0,94644733007
00599957,슈프리마에이치큐,094840,19271337931.0,232865061420
00601988,코난테크놀로지,402030,22044976629.0,44386378693
00602279,그린플러스,186230,76521470155.0,101351798638
00604028,피코그램,376180,29689581737.0,78092647171
00604815,에스디시스템,121890,20618511351.3,17695231543
00605124,알파칩스,117670,84989859909.7,52992136434
00605522,소룩스,290690,55471160022.7,117301524875
00606293,나이스디앤비,130580,89921456184.0,124488227682
00606664,케이엔더블유,105330,91138353102.0,207622472352
00606886,엔지켐생명과학,183490,60018071335.0,181743940859
00607496,한빛레이저,452190,20601415469.3,34434110068
00608316,대한과학,131220,72558765672.3,67813733551
00608699,탑코미디어,134580,18073879603.7,38557960524
00608802,텔콘RF제약,200230,34000828346.0,153588079745
00608839,에이루트,096690,65234931927.7,222298306008
00609661,티쓰리,204610,62153779299.3,122590882888
00610083,비아트론,141000,52341254292.0,204073839633
00611736,엑시콘,092870,68355032676.0,190783856743
00612188,에스티오,098660,72475108633.3,73979103060
00614593,넥스트아이,137940,33993386537.0,114704622584
00615723,알엔티엑스,123010,27883152516.7,52469350238
00616290,이엠넷,123570,38513651936.7,138751054712
00616962,린드먼아시아,277070,9513285592.7,69980790186
00617314,타이거일렉,219130,56154769375.7,77109605399
00618410,KS인더스트리,101000,25208608952.3,65818800858
00619507,와이씨켐,112290,71641588984.3,116280164535
00619640,에코앤드림,101360,72293010747.0,405770507399
00620558,에이비프로바이오,195990,26383520538.0,141262933199
00623184,오늘이엔엠,192410,17190121596.3,73362629068
00624378,마이크로투나노,424980,20315546390.3,52739290276
00624509,디바이스,187870,59017334637.7,203868138548
00624518,다산솔루에타,154040,74872554070.0,83553041687
00624749,에스피시스템스,317830,61547941696.7,98571729878
00624998,제닉,123330,36475637528.7,38157269939
00626011,아이텍,119830,63615007345.0,229635595317
00627029,DGI,099520,20208695792.3,28672300883
00629212,딜리,131180,33698747229.3,71633475979
00631837,안트로젠,065660,6674708305.7,116078467157
00632793,전진바이오팜,110020,14249189677.0,18853293193
00632845,노랑풍선,104620,84177206379.0,135143319244
00634728,이크레더블,092130,44438505785.3,59418357247
00636656,바이오플러스,099430,62723771400.0,264298004297
00638487,파수AI,150900,44296902177.3,50192542234
00641171,인지소프트,100030,22218378798.3,61886802851
00641393,엔시트론,101400,32342576415.0,48477726873
00642541,제이에스링크,127120,18279261722.7,54386406588
00642897,브레인즈컴퍼니,099390,23552690091.3,55794955235
00645089,NHN벅스,104200,58253241531.3,76194969967
00650771,하이젠알앤엠,160190,80219755005.0,120185301263
00651017,나우IB,293580,26819680544.3,151106013762
00652007,메카로,241770,51811571550.3,207583315092
00653194,앱토크롬,109960,14001520951.3,334890823632
00654175,피엠티,147760,31893436846.0,60021374575
00654272,램테크놀러지,171010,51500014301.3,104412607248
00657783,모델솔루션,417970,66719136739.0,90390294000
00659976,영화테크,265560,69230705139.7,107071735945
00660033,씨엔플러스,115530,42265618375.3,50509050942
00660121,디에이테크놀로지,196490,62010006306.3,58471901617
00660291,옵티시스,109080,24818957982.0,60221257655
00660459,나노씨엠에스,247660,5547441542.7,31274360108
00663669,폴라리스우노,114630,85076058307.7,139097613493
00665676,아시아경제,127710,85450221442.3,370777048797
00666064,셀바스AI,108860,72111705942.7,312136185719
00666204,제너셈,217190,61598261830.3,86382041318
00667425,에이팩트,200470,84703754226.3,162487960652
00668600,케이옥션,102370,19776093428.7,201120693958
00668965,지오엘리먼트,311320,30408165360.0,70134942797
00670766,엠엑스온,347890,37165675866.0,78067987113
00672603,케이엔알시스템,199430,30371402048.0,46530712451
00677334,아하,102950,69915207862.3,109200119931
00681249,씨유메디칼,115480,43129917267.3,103568835562
00681373,디지캡,197140,20016124208.7,74492167404
00683007,엑스큐어,070300,18595237496.0,24256735481
00688358,하이즈항공,221840,75362087443.0,113780919807
00694942,이미지스,115610,17000699250.0,14437701265
00695969,동운아나텍,094170,99962024897.7,98782893020
00755739,파인테크닉스,106240,56267882693.0,148992066367
00761952,아나패스,123860,98989181856.0,117618251141
00765462,씨에스베어링,297090,77008312149.3,148035414928
00765569,기가비스,420770,72427836641.7,229667851356
00765851,위더스제약,330350,82507204147.0,134687438718
00766106,엣지파운드리,105550,36779710064.7,131561893611
00767628,나이벡,138610,20641509131.3,62453644352
