corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00136004,신라에스지,025870,2024,82472595164.0,45863612729,85618791494.0,1148170505.0,121297212.0,45863612729.0,28500199142.0,17363413587.0,2026-05-26
00136165,스페코,013810,2022,27086322879.0,86712896526,31079586548.0,-3766587275.0,611187601.0,85780238695.0,35044853122.0,50735385573.0,2026-05-26
00136165,스페코,013810,2023,27086322879.0,86712896526,22987862181.0,-4148483505.0,-2057200716.0,85012074870.0,37705352670.0,47306722200.0,2026-05-26
00136165,스페코,013810,2024,27086322879.0,86712896526,27191519908.0,-5693400709.0,-1705103424.0,86712896526.0,40468638153.0,46244258373.0,2026-05-26
00137012,에스앤더블류,103230,2022,42259900228.3,71297045144,36015871826.0,2499623094.0,2325140936.0,62034959117.0,19507685682.0,42527273435.0,2026-05-26
00137012,에스앤더블류,103230,2023,42259900228.3,71297045144,43633590030.0,3232674061.0,3466819341.0,66768557720.0,21338938914.0,45429618806.0,2026-05-26
00137012,에스앤더블류,103230,2024,42259900228.3,71297045144,47130238829.0,3455878656.0,4763232740.0,71297045144.0,21475770395.0,49821274749.0,2026-05-26
00137058,신일제약,012790,2022,86194246776.7,165861375460,80007072042.0,13656373682.0,12157083331.0,142831660285.0,19554353404.0,123277306881.0,2026-05-26
00137058,신일제약,012790,2023,86194246776.7,165861375460,89135208847.0,13991301307.0,13641351348.0,152459584868.0,17564556997.0,134895027871.0,2026-05-26
00137058,신일제약,012790,2024,86194246776.7,165861375460,89440459441.0,15221696388.0,14300644572.0,165861375460.0,19355663176.0,146505712284.0,2026-05-26
00137289,이엘씨,041520,2022,60975051482.7,189660528776,137571424568.0,-9503011032.0,-5784252997.0,232871387726.0,34172639147.0,198698748579.0,2026-05-26
00137289,이엘씨,041520,2023,60975051482.7,189660528776,16118985027.0,-7307074486.0,-7844638993.0,205615121995.0,21440127428.0,184174994567.0,2026-05-26
00137289,이엘씨,041520,2024,60975051482.7,189660528776,29234744853.0,-4682302937.0,-267314517.0,189660528776.0,9880899070.0,179779629706.0,2026-05-26
00138367,플레이위드,023770,2022,25121688290.0,36981992739,14505487825.0,-7185076798.0,-878846205.0,33932884282.0,4657965466.0,29274918816.0,2026-05-26
00138367,플레이위드,023770,2023,25121688290.0,36981992739,28552255519.0,-6647064613.0,-5993718873.0,43439706822.0,17505838506.0,25933868316.0,2026-05-26
00138367,플레이위드,023770,2024,25121688290.0,36981992739,32307321526.0,-8532221284.0,-6898513065.0,36981992739.0,17925162162.0,19056830577.0,2026-05-26
00139685,양지사,030960,2022,55061235666.7,196862945845,44897819851.0,-594793557.0,-4087992679.0,194454874135.0,10009176413.0,184445697722.0,2026-05-26
00139685,양지사,030960,2023,55061235666.7,196862945845,62134749172.0,-6918702465.0,1218541612.0,194742079926.0,9264864861.0,185477215065.0,2026-05-26
00139685,양지사,030960,2024,55061235666.7,196862945845,58151137977.0,155995335.0,4447676402.0,196862945845.0,8200872568.0,188662073277.0,2026-05-26
00140061,티케이지애강,022220,2022,70868250459.0,109885553298,76051374316.0,4532290386.0,4576739881.0,110378580699.0,15898895009.0,94479685690.0,2026-05-26
00140061,티케이지애강,022220,2023,70868250459.0,109885553298,78148269266.0,4439727684.0,5455628599.0,116631474925.0,16580732022.0,100050742903.0,2026-05-26
00140061,티케이지애강,022220,2024,70868250459.0,109885553298,58405107795.0,-3687486414.0,-1934424157.0,109885553298.0,11891853795.0,97993699503.0,2026-05-26
00140566,한탑,002680,2022,92953430435.7,138897931901,99124024129.0,332633055.0,-4729777815.0,146905106572.0,97158940496.0,49746166076.0,2026-05-26
00140566,한탑,002680,2023,92953430435.7,138897931901,94845849580.0,911746243.0,-10307836452.0,141536913784.0,93537948671.0,47998965113.0,2026-05-26
00140566,한탑,002680,2024,92953430435.7,138897931901,84890417598.0,3748270730.0,-5360063730.0,138897931901.0,93058308016.0,45839623885.0,2026-05-26
00142713,형지I&C,011080,2022,64189569654.3,64869969332,70495736693.0,2393185314.0,-654189256.0,60065656283.0,30997209950.0,29068446333.0,2026-05-26
00142713,형지I&C,011080,2023,64189569654.3,64869969332,65325502023.0,653434674.0,1861016508.0,60326491444.0,30146416680.0,30180074764.0,2026-05-26
00142713,형지I&C,011080,2024,64189569654.3,64869969332,56747470247.0,-5018507855.0,-3867131503.0,64869969332.0,36648897475.0,28221071857.0,2026-05-26
00143226,엠투엔,033310,2022,65552115495.0,181439960725,28450754786.0,-4844418207.0,4875439432.0,184170989886.0,43698473486.0,140472516400.0,2026-05-26
00143226,엠투엔,033310,2023,65552115495.0,181439960725,76995441504.0,3209549957.0,3239297722.0,183836696114.0,41057777376.0,142778918738.0,2026-05-26
00143226,엠투엔,033310,2024,65552115495.0,181439960725,91210150195.0,3743595073.0,3514797943.0,181439960725.0,36432640493.0,145007320232.0,2026-05-26
00144012,원풍,008370,2022,80961701208.0,98313590517,89490584326.0,7758203186.0,8500037909.0,93369711176.0,7636922159.0,85732789017.0,2026-05-26
