통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","비유동비율","%","원자료","161.76","175.55","173.19","161.79","150.93","150.51","160.22","171.67","181.96","180.12","183.04","187.09","186.98"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","비유동장기적합률","%","원자료","103.31","106.28","106.30","98.25","94.05","93.53","95.40","97.56","97.95","97.26","97.16","98.33","99.08"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","부채비율","%","원자료","157.61","182.72","171.69","151.12","138.65","136.37","147.05","164.96","180.29","181.65","184.44","188.59","189.08"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","유동부채비율","%","원자료","101.02","117.54","108.77","86.44","78.18","75.46","79.10","89.01","94.51","96.45","96.06","98.32","100.37"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","비유동부채비율","%","원자료","56.59","65.18","62.93","64.67","60.47","60.91","67.95","75.95","85.77","85.20","88.38","90.28","88.71"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","차입금의존도","%","원자료","35.46","38.05","43.88","44.00","42.72","43.16","45.50","47.79","49.69","50.01","50.28","50.39","50.44"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","차입금대매출액","%","원자료","44.63","47.97","53.74","58.59","63.92","65.60","74.00","81.20","85.08","83.26","82.94","85.53","86.18"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","매출채권대매입채무","%","원자료","80.94","80.88","99.62","122.68","124.54","139.95","126.27","126.31","127.18","136.03","133.56","131.95","137.58"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중소기업","순운전자본대총자본","%","원자료","-2.01","-3.67","-3.78","1.15","4.00","4.40","3.13","1.62","1.36","1.80","1.88","1.10","0.60"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","자기자본비율","%","원자료","","","","","","50.52","49.58","45.95","42.41","43.28","43.69","44.28","42.84"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","유동비율","%","원자료","","","","","","163.19","155.74","142.15","120.84","124.16","126.53","132.51","127.30"
